first name,email id,quantity,events,attendee status,college name,how did you come to know about this event?,designation,year of graduation,city,cgpa,experience with python (months),family income,expected salary (lac),leadership- skills,family_income_calculated
sanika ,sanika@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,College,Students,2023,Sirsa,6.7,5,7 Lakh+,9,no,7
shruti,shruti@xyz.com,1,Art of Resume Building,Attending,new horizon institute of technology and management ,Whatsapp,Students,2024,Sonipat,8.7,7,0-2 Lakh,7,no,2
sonali ,sonali@xyz.com,1,Art of Resume Building,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2025,Chamba,6.7,3,0-2 Lakh,13,no,2
sushant ,sushant@xyz.com,1,Art of Resume Building,Attending,"symbiosis institute of technology, pune",Whatsapp,Students,2025,Kangra,9.0,4,0-2 Lakh,19,yes,2
omkar,omkar@xyz.com,1,Art of Resume Building,Attending,"mit academy of engineering ,alandi",LinkedIn,Students,2024,Hamirpur,7.2,4,0-2 Lakh,25,no,2
krutika ,krutika@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2023,kullu,8.5,5,2-5 Lakh,22,no,5
sachin,sachin@xyz.com,1,Art of Resume Building,Attending,wilson college ,Whatsapp,Students,2026,Mandi,6.5,4,5-7 Lakh,6,no,7
anand,anand@xyz.com,1,Art of Resume Building,Attending,ap shah institute of technology ,Youtube,Students,2023,Doda,9.3,4,0-2 Lakh,19,no ,2
karuna,karuna@xyz.com,1,Art of Resume Building,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2024,Gulmarg,9.1,3,0-2 Lakh,13,no ,2
vishal,vishal@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,Whatsapp,Students,2023,Punch,7.8,5,0-2 Lakh,12,yes,2
shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",College,Students,2024,Srinagar,8.5,7,0-2 Lakh,10,no,2
madhuri,madhuri@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Email,Students,2025,Udhampur,8.7,3,0-2 Lakh,10,no,2
vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",College,Students,2025,Ballari,9.4,7,5-7 Lakh,25,no,7
rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,College,Students,2026,Hasan,7.7,5,0-2 Lakh,9,no,2
somnath ,somnath@xyz.com,1,Art of Resume Building,Attending,new horizon institute of technology and management ,Whatsapp,Students,2023,Kolar,7.5,3,0-2 Lakh,8,yes,2
rahul ,rahul@xyz.com,1,Art of Resume Building,Attending,late g. n. sapkal college of engineering,Facebook,Students,2025,Mysuru,7.2,5,2-5 Lakh,7,yes,5
kalpesh,kalpesh@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2024,Thrissur,7.3,5,0-2 Lakh,16,yes,2
sunny,sunny@xyz.com,1,Art of Resume Building,Attending,wilson college ,Whatsapp,Students,2025,Bhopal,9.4,3,0-2 Lakh,21,yes,2
sarvesh,sarvesh@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2026,Dhar,6.6,4,0-2 Lakh,8,no,2
sanjay,sanjay@xyz.com,1,Art of Resume Building,Attending,dkte society's textile and engineering institute ichalkaranji,Email,Students,2023,Indore,6.6,5,0-2 Lakh,7,no,2
amit,amit@xyz.com,1,Art of Resume Building,Attending,"thakur institute of management studies, career development & research - [timscdr]",Cloud Counselage Website,Students,2023,Guna,8.5,3,0-2 Lakh,20,no,2
akash,akash@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2025,Narwar,8.1,4,0-2 Lakh,13,no,2
shraddha ,shraddha@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Email,Students,2025,Orchha,7.9,7,0-2 Lakh,24,no,2
supriya,supriya@xyz.com,1,Art of Resume Building,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,Students,2024,Sagar,7.1,7,0-2 Lakh,17,no,2
pratiksha,pratiksha@xyz.com,1,Art of Resume Building,Attending,adhiyamaan college of engineering,Whatsapp,Students,2026,Ujjain,7.7,7,0-2 Lakh,21,no,2
nisha,nisha@xyz.com,1,Art of Resume Building,Attending,pillai college of engineering new panvel,College,Students,2024,Akola,6.5,7,0-2 Lakh,9,yes,2
rehan,rehan@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,College,Students,2024,Aurangabad,9.4,7,0-2 Lakh,21,no ,2
vinit ,vinit@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",LinkedIn,Students,2025,Bhandara,6.8,5,0-2 Lakh,7,no ,2
pratiksha ,pratiksha@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Instagram,Students,2023,Bid,7.9,7,0-2 Lakh,21,yes,2
ninad,ninad@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,Students,2023,Buldhana,9.3,5,0-2 Lakh,30,no,2
satish ,satish@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2024,Dhule,6.9,4,0-2 Lakh,24,no,2
vignesh,vignesh@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2026,Jalgaon,8.9,4,0-2 Lakh,8,no,2
dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2024,Kalyan,8.3,7,0-2 Lakh,19,yes,2
ayushi,ayushi@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2025,Thane,7.2,4,0-2 Lakh,21,no,2
yash,yash@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,Students,2023,Navi Mumbai,8.1,7,0-2 Lakh,17,no,2
ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2024,Nagpur,9.6,3,0-2 Lakh,9,no,2
leah,leah@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Email,Students,2023,Nanded,7.5,3,0-2 Lakh,8,no,2
simran,simran@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Cloud Counselage Website,Students,2024,Kolhapur,7.9,7,0-2 Lakh,8,yes,2
puja,puja@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,Whatsapp,Students,2026,Karli,9.3,3,0-2 Lakh,8,yes,2
krutika,krutika@xyz.com,1,Art of Resume Building,Attending,new horizon institute of technology and management ,Whatsapp,Students,2023,Matheran,9.6,4,0-2 Lakh,8,no ,2
kapil,kapil@xyz.com,1,Art of Resume Building,Attending,late g. n. sapkal college of engineering,Cloud Counselage Website,Students,2025,Nashik,9.1,7,0-2 Lakh,24,no ,2
pallavi ,pallavi@xyz.com,1,Art of Resume Building,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2025,Solapur,7.5,7,0-2 Lakh,9,yes,2
himani ,himani@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2024,Satara,7.6,7,0-2 Lakh,17,no,2
sachi,sachi@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Students,2023,Sangola,7.2,7,0-2 Lakh,11,no,2
yogita,yogita@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2024,Vasai,7.1,5,0-2 Lakh,18,no,2
bhagyashri,bhagyashri@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,Students,2024,Shillong,7.1,4,0-2 Lakh,12,no,2
shashank,shashank@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2025,Puri,9.5,7,0-2 Lakh,23,no,2
sonali,sonali@xyz.com,1,Art of Resume Building,Attending,d y patil institute of mca and management akurdi pune,Whatsapp,Students,2023,konark,9.2,5,0-2 Lakh,8,no,2
satish,satish@xyz.com,1,Art of Resume Building,Attending,ap shah institute of technology ,Whatsapp,Students,2023,Cuttack,7.9,5,0-2 Lakh,9,yes,2
kajal,kajal@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2025,Patiala,9.1,4,0-2 Lakh,25,yes,2
aditya,aditya@xyz.com,1,Art of Resume Building,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,Students,2025,Sangrur,6.9,7,0-2 Lakh,22,yes,2
pratik,pratik@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Email,Students,2023,Ajmer,8.4,4,7 Lakh+,6,no,7
sonal,sonal@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,College,Students,2024,Amer,6.7,4,0-2 Lakh,9,no,2
ashwini,ashwini@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2024,Barmer,9.2,7,0-2 Lakh,20,no,2
sagar,sagar@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",LinkedIn,Students,2023,Bikaner,7.3,5,0-2 Lakh,15,yes,2
himanshu,himanshu@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,Youtube,Students,2023,Jhalwar,7.6,7,0-2 Lakh,13,no,2
anushka,anushka@xyz.com,1,Art of Resume Building,Attending,new horizon institute of technology and management ,Email,Students,2025,Jodhpur,9.3,5,0-2 Lakh,11,no,2
aaron,aaron@xyz.com,1,Art of Resume Building,Attending,"mit academy of engineering ,alandi",Email,Students,2023,Sikar,6.6,3,0-2 Lakh,10,yes,2
darsh,darsh@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Email,Students,2023,Gangtok,7.8,7,2-5 Lakh,10,no ,5
rajkumar,rajkumar@xyz.com,1,Art of Resume Building,Attending,wilson college ,Email,Students,2026,Hyderbad,8.7,4,0-2 Lakh,15,no ,2
rushikesh ,rushikesh@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Cloud Counselage Website,Students,2025,Nizambad,7.2,7,0-2 Lakh,12,yes,2
mona ,mona@xyz.com,1,Art of Resume Building,Attending,"thakur institute of management studies, career development & research - [timscdr]",Whatsapp,Students,2024,Agra,8.0,7,0-2 Lakh,21,no,2
chetan ,chetan@xyz.com,1,Art of Resume Building,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Email,Students,2024,Aligarh,8.5,7,0-2 Lakh,9,no,2
apurva,apurva@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2023,Gonda,8.5,7,0-2 Lakh,9,no,2
aatif,aatif@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Email,Students,2023,Ghazipur,9.1,3,0-2 Lakh,8,yes,2
vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,silicon institute of technology,Email,Students,2024,Gonda,8.7,7,0-2 Lakh,21,no,2
swapnali,swapnali@xyz.com,1,Art of Resume Building,Attending,adhiyamaan college of engineering,Whatsapp,Students,2024,Gorakhpur,6.5,3,0-2 Lakh,5,no,2
manish,manish@xyz.com,1,Art of Resume Building,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2025,Hamirpur,8.8,5,0-2 Lakh,16,no,2
sanket,sanket@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Email,Students,2024,Mathura,9.2,5,0-2 Lakh,13,yes,2
abhishek ,abhishek@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Email,Students,2023,Almora,7.1,7,0-2 Lakh,11,no,2
rushikesh,rushikesh@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,Students,2024,Haora,9.2,3,0-2 Lakh,8,yes,2
priyanka ,priyanka@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",College,Students,2023,Hugli,9.3,5,0-2 Lakh,8,no,2
pramod,pramod@xyz.com,1,Art of Resume Building,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2025,Siliguri,8.3,4,0-2 Lakh,24,yes,2
samiksha,samiksha@xyz.com,1,Art of Resume Building,Attending,"symbiosis institute of technology, pune",College,Students,2023,Silguri,7.4,3,0-2 Lakh,8,no ,2
rucha,rucha@xyz.com,1,Art of Resume Building,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2026,Siuri,6.7,3,0-2 Lakh,19,no ,2
darshan ,darshan@xyz.com,1,Art of Resume Building,Attending,wilson college ,Whatsapp,Students,2025,Talmuk,9.7,7,0-2 Lakh,17,yes,2
ankita,ankita@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Students,2024,Siuri,7.9,7,0-2 Lakh,18,no,2
hemant,hemant@xyz.com,1,Art of Resume Building,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2023,Titagrah,7.2,3,0-2 Lakh,9,no,2
ritik ,ritik@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Students,2023,Orchha,7.1,4,0-2 Lakh,8,no,2
snehal,snehal@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2025,Sagar,8.7,4,0-2 Lakh,8,yes,2
vedant,vedant@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,Students,2024,Satna,8.7,7,0-2 Lakh,8,no,2
philip,philip@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Email,Students,2026,Vidisha,6.8,5,0-2 Lakh,6,no,2
vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Email,Students,2023,Akola,7.1,7,0-2 Lakh,7,no,2
riya,riya@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Email,Students,2023,Aurangabad,8.5,3,0-2 Lakh,7,no,2
priyanka,priyanka@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,Email,Students,2025,Bhandara,9.1,7,0-2 Lakh,28,yes,2
ajinkya,ajinkya@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2025,Amritsar,7.8,3,0-2 Lakh,7,no,2
sapana,sapana@xyz.com,1,Art of Resume Building,Attending,wilson college ,Whatsapp,Students,2024,Patiala,7.9,7,0-2 Lakh,9,no,2
akanksha,akanksha@xyz.com,1,Art of Resume Building,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2026,Ajmer,8.1,7,0-2 Lakh,8,yes,2
mahesh,mahesh@xyz.com,1,Art of Resume Building,Attending,"thakur institute of management studies, career development & research - [timscdr]",Email,Students,2023,Amer,9.5,4,0-2 Lakh,9,no ,2
kajal ,kajal@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,Whatsapp,Students,2025,Sikar,8.4,4,0-2 Lakh,16,no,2
sanika,sanika@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Email,Students,2023,Ahemdabad,9.9,7,0-2 Lakh,16,no,2
louis,louis@xyz.com,1,Art of Resume Building,Attending,dkte society's textile and engineering institute ichalkaranji,Facebook,Students,2023,Junagadh,6.3,4,0-2 Lakh,6,no ,2
manisha,manisha@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2026,Kheda,8.9,4,0-2 Lakh,8,no ,2
rahul,rahul@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,College,Students,2025,Morbi,9.5,5,0-2 Lakh,21,yes,2
parag,parag@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Cloud Counselage Website,Students,2024,Nadiad,8.5,4,0-2 Lakh,5,yes,2
ankita,ankita@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Email,Students,2024,Navsari,8.5,5,0-2 Lakh,21,no,2
dhanashri,dhanashri@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2023,Okha,8.8,4,0-2 Lakh,23,no,2
raghav,raghav@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,Whatsapp,Students,2025,Valsad,8.3,5,0-2 Lakh,5,no,2
sharvari,sharvari@xyz.com,1,Art of Resume Building,Attending,"symbiosis institute of technology, pune",Whatsapp,Students,2024,Faridabad,7.7,4,0-2 Lakh,18,no,2
tejas,tejas@xyz.com,1,Art of Resume Building,Attending,wilson college ,Whatsapp,Students,2025,Jind,7.9,5,0-2 Lakh,8,yes,2
yash,yash@xyz.com,1,Art of Resume Building,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2026,Agartala,9.2,3,0-2 Lakh,17,yes,2
amey,amey@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2024,Agra,7.6,5,0-2 Lakh,13,yes,2
monika,monika@xyz.com,1,Art of Resume Building,Attending,silicon institute of technology,Youtube,Students,2024,Budaun,7.5,5,0-2 Lakh,7,no,2
yogesh ,yogesh@xyz.com,1,Art of Resume Building,Attending,adhiyamaan college of engineering,Whatsapp,Students,2023,Jhansi,6.9,4,0-2 Lakh,13,yes,2
gouri,gouri@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Cloud Counselage Website,Students,2023,Mainpuri,6.7,5,0-2 Lakh,6,yes,2
siddhesh,siddhesh@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2024,Haora,7.2,7,0-2 Lakh,17,no,2
pallavi,pallavi@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Cloud Counselage Website,Students,2025,Hugli,6.5,5,0-2 Lakh,13,no,2
somnath,somnath@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,LinkedIn,Students,2023,Kolkata,6.6,5,0-2 Lakh,11,no,2
sayali,sayali@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,College,Students,2024,Malda,9.5,4,0-2 Lakh,12,no,2
santosh,santosh@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2024,Santipur,9.7,4,0-2 Lakh,10,no,2
sakshi,sakshi@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2023,Silguri,9.1,3,0-2 Lakh,15,yes,2
sudhir,sudhir@xyz.com,1,Art of Resume Building,Attending,new horizon institute of technology and management ,Whatsapp,Students,2025,Talmuk,7.8,4,0-2 Lakh,20,no ,2
vaibhavi,vaibhavi@xyz.com,1,Art of Resume Building,Attending,"symbiosis institute of technology, pune",Whatsapp,Students,2024,Siuri,8.5,7,0-2 Lakh,9,yes,2
revati,revati@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2023,Orchha,8.3,4,0-2 Lakh,8,no,2
sandesh,sandesh@xyz.com,1,Art of Resume Building,Attending,dkte society's textile and engineering institute ichalkaranji,Youtube,Students,2025,Ujjain,8.5,7,0-2 Lakh,5,no,2
pradnya ,pradnya@xyz.com,1,Art of Resume Building,Attending,ap shah institute of technology ,Email,Students,2024,Akola,7.7,5,0-2 Lakh,21,no,2
suhas,suhas@xyz.com,1,Art of Resume Building,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2023,Aurangabad,7.5,5,0-2 Lakh,8,no,2
vaishnavi ,vaishnavi@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,Whatsapp,Students,2025,Bhsawal,7.6,7,0-2 Lakh,20,yes,2
mayur,mayur@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Cloud Counselage Website,Students,2024,Bid,7.3,5,0-2 Lakh,9,yes,2
ramita,ramita@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Facebook,Students,2024,Jalgaon,6.6,7,0-2 Lakh,17,yes,2
bhushan,bhushan@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",College,Students,2023,Thane,8.5,7,0-2 Lakh,21,no,2
